problem_type,goal_check_delay,problem_number,execution_time,algorithm_name,solution_found
complex,0,9,501.09,Synchronization with thread director,True
complex,0,9,22.32,Using C++ for_each,True
complex,0,9,19.27,Using C++ async,True
complex,0,9,16.94,Using C++ tasks,True
complex,0,9,1503.0,Recursive async,True
complex,0,9,191.55,Recursive C++ for_each,True
complex,0,12,34225.9,Recursive async,True
complex,0,12,1.87,Using C++ for_each,True
complex,0,12,2.0,Using C++ tasks,True
complex,0,12,1.38,Using C++ async,True
complex,0,12,5.78,Sequential,True
complex,0,12,2.01,Synchronization with thread director,True
complex,0,12,158.5,Recursive C++ for_each,True
complex,0,12,1.62,C++ any_of,True
complex,0,47,23.08,Using C++ tasks,True
complex,0,47,23.54,Using C++ async,True
complex,0,47,17.95,C++ any_of,True
complex,0,47,22.43,Using C++ for_each,True
complex,0,47,222.25,Sequential,True
complex,0,47,114.99,Recursive C++ for_each,True
complex,0,47,201.44,Synchronization with thread director,True
complex,0,47,23650.8,Recursive async,True
complex,0,11,2.27,Using C++ for_each,True
complex,0,11,34890.3,Recursive async,True
complex,0,11,2.61,Using C++ tasks,True
complex,0,11,2.86,C++ any_of,True
complex,0,11,105.53,Synchronization with thread director,True
complex,0,11,17.35,Sequential,True
complex,0,11,17.98,Using C++ async,True
complex,0,11,1778.4,Recursive C++ for_each,True
complex,0,1,1.52,C++ any_of,True
complex,0,1,2.3,Using C++ tasks,True
complex,0,1,1.52,Using C++ async,True
complex,0,1,1.74,Using C++ for_each,True
complex,0,1,463.43,Recursive C++ for_each,True
complex,0,1,11.17,Sequential,True
complex,0,1,1398.31,Recursive async,True
complex,0,1,40.93,Synchronization with thread director,True
complex,0,8,35.29,Using C++ tasks,True
complex,0,8,29.49,Using C++ for_each,True
complex,0,8,36.46,C++ any_of,True
complex,0,8,43.76,Synchronization with thread director,True
complex,0,8,31439.0,Recursive async,True
complex,0,8,32.64,Using C++ async,True
complex,0,8,331.31,Recursive C++ for_each,True
complex,0,8,142.87,Sequential,True
complex,0,6,407.84,Recursive C++ for_each,True
complex,0,6,18.71,Using C++ tasks,True
complex,0,6,10.77,Synchronization with thread director,True
complex,0,6,1.85,Using C++ for_each,True
complex,0,6,1.28,Using C++ async,True
complex,0,6,22049.7,Recursive async,True
complex,0,6,2.12,C++ any_of,True
complex,0,6,5.66,Sequential,True
complex,0,19,1.5,Using C++ tasks,True
complex,0,19,23436.6,Recursive async,True
complex,0,19,2.2,C++ any_of,True
complex,0,19,5.23,Sequential,True
complex,0,19,5.03,Synchronization with thread director,True
complex,0,19,1.73,Using C++ async,True
complex,0,19,81.76,Recursive C++ for_each,True
complex,0,19,1.89,Using C++ for_each,True
complex,0,40,0.22,C++ any_of,True
complex,0,40,1.79,Sequential,True
complex,0,40,0.57,Using C++ tasks,True
complex,0,40,180.36,Recursive C++ for_each,True
complex,0,40,27110.0,Recursive async,True
complex,0,40,0.55,Using C++ async,True
complex,0,40,0.38,Using C++ for_each,True
complex,0,40,66.59,Synchronization with thread director,True
complex,0,4,337.26,C++ any_of,False
complex,0,4,739.69,Synchronization with thread director,False
complex,0,4,334.25,Using C++ tasks,False
complex,0,4,328.44,Using C++ for_each,False
complex,0,4,2069.61,Recursive C++ for_each,False
complex,0,4,35585.4,Recursive async,False
complex,0,4,1639.84,Sequential,False
complex,0,4,333.19,Using C++ async,False
complex,0,33,20976.2,Recursive async,True
complex,0,33,11.01,Synchronization with thread director,True
complex,0,33,4.85,C++ any_of,True
complex,0,33,6.13,Using C++ async,True
complex,0,33,25.66,Sequential,True
complex,0,33,4.99,Using C++ tasks,True
complex,0,33,5.14,Using C++ for_each,True
complex,0,33,552.85,Recursive C++ for_each,True
complex,0,21,13.16,Synchronization with thread director,True
complex,0,21,340.9,Recursive C++ for_each,True
complex,0,21,0.71,Using C++ tasks,True
complex,0,21,0.42,Using C++ async,True
complex,0,21,0.25,C++ any_of,True
complex,0,21,0.16,Using C++ for_each,True
complex,0,21,657.67,Recursive async,True
complex,0,21,1.9,Sequential,True
complex,0,24,12.85,Using C++ async,True
complex,0,24,10.36,Using C++ for_each,True
complex,0,24,31.15,Synchronization with thread director,True
